data,produto,categoria,quantidade,preco,regiao
2026-07-06,Monitor,Eletronicos,12,1088.03,Sudeste
2026-07-06,HD Externo 2TB,Armazenamento,11,609.61,Sul
2026-07-06,Headset,Perifericos,2,321.36,Sudeste
2026-07-06,Mesa Ajustavel,Mobiliario,15,1781.36,Sul
2026-07-06,HD Externo 2TB,Armazenamento,1,584.99,Nordeste
2026-07-06,Pen Drive 128GB,Armazenamento,4,114.85,Nordeste
2026-07-06,Mesa Ajustavel,Mobiliario,10,1683.48,Sudeste
2026-07-06,Suporte Monitor,Mobiliario,2,303.59,Nordeste
2026-07-06,Mouse,Perifericos,10,149.04,Sudeste
2026-07-06,Headset,Perifericos,,429.61,Sul
2026-07-06,Smartphone,Eletronicos,10,1376.70,Norte
2026-07-06,Webcam,Perifericos,15,360.78,Sul
2026-07-06,Headset,Perifericos,15,249.47,Sudeste
2026-07-06,Monitor,Eletronicos,12,1399.61,Sudeste
2026-07-06,Notebook,Eletronicos,11,3520.08,Sudeste
2026-07-06,Notebook,Eletronicos,2,4406.59,Nordeste
2026-07-07,Pen Drive 128GB,Armazenamento,9,122.57,Norte
2026-07-07,Mesa Ajustavel,Mobiliario,5,2049.81,Sul
2026-07-07,Webcam,Perifericos,2,185.86,Sul
2026-07-07,Cadeira Gamer,Mobiliario,7,1148.72,Sul
2026-07-07,Mesa Ajustavel,Mobiliario,,2829.40,Sudeste
2026-07-07,Headset,Perifericos,5,329.77,Nordeste
2026-07-07,Suporte Monitor,Mobiliario,12,192.72,Nordeste
2026-07-08,Webcam,Perifericos,5,207.53,Centro-Oeste
2026-07-08,Webcam,Perifericos,2,228.06,Centro-Oeste
2026-07-08,HD Externo 2TB,Armazenamento,4,583.19,Sudeste
2026-07-08,SSD 1TB,Armazenamento,2,455.01,Sudeste
2026-07-08,Mesa Ajustavel,Mobiliario,15,1569.38,Nordeste
2026-07-08,Notebook,Eletronicos,13,3022.39,Centro-Oeste
